MarcaId,FechaVencimiento,NumeroDeLote
1834,2024-09-09,Lote-9201-rC
397,2024-04-09,Lote-8080-mp
1129,2025-01-10,Lote-4463-xf
1046,2026-02-18,Lote-4088-QD
611,2026-04-09,Lote-2994-GN
2299,2024-08-09,Lote-8951-aX
532,2026-01-13,Lote-9872-yH
1063,2025-06-21,Lote-2496-qd
161,2026-01-04,Lote-2677-Is
1045,2026-10-08,Lote-5042-qj
709,2024-09-26,Lote-7948-RW
1553,2026-03-29,Lote-6709-CG
2246,2026-08-04,Lote-7651-nE
2300,2026-07-13,Lote-3154-NM
714,2024-06-12,Lote-5461-tZ
1129,2025-09-20,Lote-2030-Sf
271,2023-12-04,Lote-1611-dq
2105,2026-11-06,Lote-9984-ei
858,2025-09-24,Lote-8388-KS
88,2026-02-26,Lote-6286-rb
2000,2026-04-04,Lote-5384-yS
1339,2026-11-19,Lote-8972-cb
2482,2024-06-30,Lote-7903-JE
671,2024-05-10,Lote-9332-RT
2320,2026-03-22,Lote-0745-fj
1863,2026-08-09,Lote-7028-VE
1518,2024-03-01,Lote-4978-PE
983,2025-04-01,Lote-2207-fO
406,2025-06-20,Lote-3157-mm
914,2026-03-05,Lote-6461-zl
1680,2026-11-01,Lote-8589-JB
2231,2024-02-09,Lote-8962-Xn
1389,2025-06-10,Lote-9781-GR
1688,2024-03-11,Lote-5591-tp
2287,2025-04-23,Lote-7497-VX
1396,2025-09-24,Lote-7621-MI
1608,2025-07-21,Lote-4718-BR
73,2025-03-02,Lote-1482-iD
1211,2024-02-22,Lote-8412-ck
1941,2026-09-15,Lote-1871-DJ
2123,2025-06-24,Lote-0644-zU
1308,2026-06-03,Lote-2499-ry
483,2024-12-11,Lote-1953-jZ
1716,2023-12-10,Lote-6171-qZ
2486,2026-10-28,Lote-0118-su
780,2025-10-11,Lote-9292-Tr
2017,2025-09-23,Lote-2880-uS
130,2023-12-17,Lote-7098-FW
1413,2026-02-19,Lote-2286-Yi
2287,2026-11-19,Lote-4107-TC
970,2026-03-22,Lote-2217-KO
1488,2026-07-06,Lote-1997-cf
381,2026-04-21,Lote-2374-rU
1177,2023-12-10,Lote-2027-xa
