Monto,Cantidad,ITBIS,Descuento
45073.65,10,457.9,330.64
1944.75,11,355.95,448.52
27824.77,4,991.74,247.34
11250.44,15,166.15,111.94
25071.85,7,721.78,77.68
32511.26,5,844.57,211.63
1818.06,4,67.93,285.67
33648.22,2,65.11,276.54
15240.07,10,550.3,100.6
32119.08,18,878.78,401.7
5310.47,17,205.15,328.0
35687.7,1,262.99,32.01
7962.28,12,501.36,72.2
23522.77,12,480.77,63.82
7905.98,2,921.22,117.41
15005.13,19,12.13,330.26
1311.07,5,929.38,338.4
24975.74,7,809.63,226.56
34306.95,10,224.44,350.29
27444.09,14,351.24,401.88
41247.77,17,865.49,230.56
43287.76,7,305.95,179.42
6808.05,12,183.05,321.12
34311.55,1,526.32,237.17
3366.01,15,570.89,456.5
36026.9,14,319.11,350.56
38064.29,6,34.83,142.37
18615.94,15,173.26,358.57
34682.07,7,425.81,212.33
42273.69,17,881.05,101.25
6738.77,4,487.1,284.85
28424.83,3,490.47,59.63
33317.9,10,446.45,128.09
3009.71,17,43.34,173.93
33730.11,8,365.96,212.85
31172.16,11,324.04,327.46
4143.34,14,976.5,37.59
24522.52,9,455.72,437.74
8684.15,16,707.83,151.9
27624.56,1,192.9,139.47
40121.36,4,795.61,197.94
35110.7,2,748.39,68.6
46035.7,12,258.81,18.51
19806.72,17,988.64,425.74
42161.21,5,672.7,212.83
15403.89,8,72.59,254.57
36954.65,7,233.02,198.16
45537.56,19,138.22,441.84
47425.15,11,212.61,129.42
31306.9,12,277.73,194.52
22965.89,10,332.6,58.39
41927.83,5,435.02,448.37
7223.58,19,822.58,404.28
26832.32,2,769.06,365.25
28753.07,1,235.76,122.21
39023.46,15,742.35,299.29
23847.03,16,761.49,259.7
22710.21,3,843.04,182.22
7791.44,13,263.22,194.81
48592.53,15,866.02,260.6
38674.96,12,286.3,85.62
44840.83,10,438.38,390.48
7247.29,17,707.29,53.23
38950.65,5,776.63,140.7
7896.59,13,62.74,320.07
6350.45,3,632.87,454.92
20493.45,8,74.51,122.57
29688.83,4,20.54,316.58
10387.0,2,773.16,222.9
10269.45,3,734.46,398.87
24608.18,1,797.23,27.06
17772.9,17,948.56,252.05
13903.9,19,182.98,165.25
8400.01,12,711.22,334.19
16322.66,13,504.17,51.61
30157.19,9,776.29,217.62
14055.45,19,456.73,3.0
13562.53,6,701.49,64.88
1116.0,14,933.44,158.68
8825.58,15,849.24,117.83
14709.52,17,575.34,108.17
33672.46,14,131.7,26.4
36054.69,11,340.77,347.17
45530.73,9,366.07,368.8
1891.6,7,64.47,219.12
49710.8,6,525.59,473.12
3843.68,16,668.83,387.35
6093.44,2,992.52,379.66
33661.92,1,695.7,114.11
42174.88,17,119.94,399.4
30785.23,13,558.56,395.72
15776.69,10,746.19,120.19
46957.18,7,572.03,207.9
22898.68,5,88.86,396.76
30905.82,10,79.95,317.76
32933.26,1,217.85,392.8
49033.11,8,188.68,358.31
43707.4,6,674.54,109.75
10889.09,2,93.96,241.7
12924.18,13,191.2,431.1
18767.2,5,151.89,447.35
24658.39,12,825.71,190.27
36949.98,15,732.45,72.94
45379.66,1,349.58,418.91
43161.93,1,534.93,453.28
36071.85,17,630.41,307.82
23992.77,13,312.72,465.04
23546.19,16,137.48,265.28
35799.2,7,28.13,157.82
49979.84,11,880.22,208.21
49010.83,13,925.86,209.47
13458.75,10,488.94,74.31
12725.98,9,56.69,360.72
2685.58,16,893.44,48.84
4979.94,6,458.94,249.8
16839.45,2,10.37,328.68
47324.92,12,677.7,115.82
27337.41,14,499.59,196.73
43415.28,12,153.96,471.96
30316.65,1,599.84,134.75
36421.72,17,869.98,72.13
10889.05,16,782.87,144.48
19400.13,12,78.79,153.06
7683.25,7,550.73,1.74
9700.15,5,177.42,126.36
36222.19,13,684.65,235.23
9017.72,1,651.18,285.26
3929.01,14,365.86,59.24
49995.75,15,588.61,121.08
12617.59,2,174.34,494.46
10842.38,6,166.04,212.51
36212.04,4,45.56,148.44
25325.76,18,344.16,306.13
19593.91,2,973.9,62.19
11147.21,5,198.42,238.09
41657.11,7,449.11,174.02
36594.99,19,729.08,457.11
42189.18,12,337.06,453.53
47905.76,13,600.88,388.71
32702.14,4,135.69,12.82
37742.21,13,983.12,308.46
10813.82,17,891.3,466.06
1492.87,9,150.42,465.84
23351.85,18,461.71,447.81
48724.65,14,805.41,465.72
37790.59,14,709.2,454.02
43748.52,11,785.46,458.2
23466.33,2,268.19,318.4
43277.73,16,871.66,70.17
48568.23,3,22.14,260.72
40108.54,18,531.51,308.59
34510.67,3,845.2,74.9
21247.83,14,887.13,193.98
26928.46,10,519.16,341.47
30854.77,13,209.79,246.07
25476.76,12,652.41,121.63
27948.39,7,565.43,253.58
45630.2,4,898.66,465.53
2897.41,7,138.87,482.38
21483.18,4,282.45,333.87
337.37,8,233.79,56.1
12340.31,3,968.39,261.69
15157.18,6,784.95,410.98
6892.61,2,562.93,466.88
23598.11,19,617.85,165.9
45593.82,13,481.14,243.12
46718.71,2,981.92,355.06
43233.39,16,29.23,207.12
2025.86,4,93.92,51.33
35929.32,11,870.37,191.64
20924.7,14,978.87,447.49
34840.61,9,991.08,160.18
3803.85,9,141.96,147.14
44185.6,15,576.51,93.03
44579.33,12,319.77,462.91
33510.21,17,406.89,109.7
33572.56,1,696.7,258.27
33014.6,19,228.84,292.84
21490.98,8,800.73,172.92
16278.79,17,877.89,452.73
20366.63,11,447.89,114.95
38184.17,9,665.29,287.9
512.52,18,378.03,180.73
1137.35,5,23.07,438.42
48392.07,17,758.52,35.42
33540.52,16,155.33,488.35
6905.7,15,399.37,51.15
149.11,1,471.85,93.44
21613.94,16,83.42,417.83
43236.97,10,235.19,199.73
33585.85,1,204.29,377.85
31750.08,13,669.38,491.75
32285.62,16,697.96,447.14
21569.22,15,956.52,284.59
7161.99,17,882.88,196.03
43740.24,5,462.49,314.55
8994.71,4,45.77,142.13
31500.04,3,379.38,18.49
15370.85,9,674.73,50.99
37220.24,5,497.6,235.83
27915.52,11,669.95,367.81
32078.61,9,415.19,175.22
22871.72,8,357.91,352.25
29089.49,16,844.79,212.11
3763.07,6,903.61,359.86
19490.69,1,937.49,69.54
48125.49,17,757.12,191.15
26044.81,19,379.39,347.21
16429.52,10,480.51,250.12
37032.94,3,499.65,188.24
38121.23,5,305.85,431.54
29151.84,15,412.03,27.17
39446.47,18,964.4,422.79
1597.92,18,478.36,134.18
26726.84,18,692.71,86.48
43454.13,6,180.97,330.69
6976.87,7,50.27,483.4
39927.87,18,862.56,393.06
34531.24,9,113.23,256.18
33543.12,18,653.94,210.93
37372.94,11,74.65,99.96
40913.66,4,768.08,68.13
30268.44,3,637.49,198.03
14686.78,6,916.95,410.6
3255.52,10,990.29,324.89
11715.95,2,911.93,204.56
18268.81,12,300.91,166.44
28381.72,7,895.97,352.21
33337.55,3,31.89,245.54
47746.6,11,807.12,107.32
26709.76,6,467.36,201.42
8797.82,8,588.64,433.15
441.0,19,41.49,213.7
17233.88,12,176.04,311.53
11943.0,13,176.92,353.48
31425.61,4,199.82,394.36
40321.76,1,985.15,210.49
48794.6,16,198.4,456.27
25888.3,13,236.65,347.28
6252.05,3,970.79,302.7
33431.45,2,217.2,213.97
40986.47,15,294.72,150.19
34506.05,14,674.87,196.73
16789.36,16,430.59,201.34
4555.31,14,153.27,467.31
25250.03,16,619.0,73.62
37425.12,9,773.4,4.57
47788.35,10,512.65,185.96
8139.95,16,635.22,388.58
2568.33,10,201.91,408.97
44471.21,5,496.55,91.75
15893.02,9,471.38,396.01
25854.86,16,982.18,65.89
39731.97,16,727.54,290.79
2341.36,2,481.67,299.54
42630.58,7,940.71,32.12
37207.59,16,382.45,399.2
32461.35,9,265.34,107.07
44421.23,17,546.3,203.01
28314.11,4,505.01,297.11
4876.82,4,832.56,214.73
6981.93,15,46.29,166.06
19193.18,10,990.18,229.39
27434.72,7,581.28,255.5
45015.85,3,905.87,398.07
31191.01,6,87.84,348.11
4210.05,4,973.13,325.38
31965.06,4,331.21,497.36
43376.53,8,996.01,113.69
24353.7,13,179.28,150.86
8496.59,6,696.63,111.67
22161.85,3,54.76,143.17
28877.47,2,40.67,469.1
19600.52,13,133.18,446.24
19065.96,9,425.66,318.59
22857.77,13,300.77,452.86
45132.67,17,798.25,310.91
16326.9,17,577.98,148.29
23758.73,3,73.96,134.12
19782.28,7,591.81,386.67
11048.38,1,853.11,481.36
22546.51,9,674.31,242.27
41596.66,7,583.52,476.23
5274.0,14,428.77,295.24
19339.44,7,750.87,462.58
12177.07,19,641.95,232.24
47874.56,3,145.68,179.3
23295.5,1,722.79,58.94
29578.13,3,963.21,7.75
34115.28,7,261.98,96.67
27283.69,2,791.71,475.6
36683.24,17,883.2,388.22
13575.19,17,877.72,90.44
37823.76,19,747.6,345.55
26896.25,12,558.93,261.72
29937.68,12,667.43,365.03
2626.02,14,558.53,84.84
47078.43,4,57.18,341.57
2286.74,19,644.17,491.17
29769.11,10,343.48,80.08
4208.26,15,434.29,135.43
36334.13,4,768.18,174.2
24476.23,11,653.69,344.76
37203.22,18,335.55,33.12
8940.04,4,448.33,492.69
46959.42,16,484.42,174.58
17579.47,10,509.53,444.34
28346.32,8,777.66,485.58
4572.4,15,982.71,89.03
19176.1,10,489.39,249.16
32318.04,12,79.4,238.55
48431.69,13,635.24,295.91
20700.79,9,899.98,296.36
29274.63,14,817.86,304.28
34096.07,4,519.79,265.64
49813.93,8,752.6,24.82
2673.0,3,925.41,257.22
34239.62,5,36.94,372.45
14546.82,14,185.0,169.91
49556.2,8,67.87,15.23
7283.52,1,983.85,252.72
37377.39,13,632.55,401.19
31289.18,10,769.79,278.18
30038.49,18,213.77,429.43
21561.7,18,920.13,369.67
6185.23,7,909.74,98.8
28271.22,1,203.47,471.61
17335.67,17,684.65,49.76
32355.25,11,155.96,0.96
214.83,3,877.4,375.29
11404.88,10,212.8,477.28
26091.46,15,327.43,322.75
7239.19,18,857.62,453.03
34561.51,16,627.58,274.2
46725.79,4,33.51,220.4
30676.6,4,984.84,429.33
20852.02,1,569.45,70.83
39768.49,11,119.82,206.34
14260.88,3,82.26,469.24
22429.62,9,147.09,12.76
34301.52,16,277.38,449.43
17464.43,5,452.71,439.95
2406.66,19,797.03,209.83
37231.41,19,653.05,470.73
38249.14,14,937.69,345.42
36430.91,4,539.09,190.66
247.25,18,986.15,305.48
43009.12,11,96.42,116.24
926.89,11,868.79,179.99
28513.63,19,303.38,146.59
49400.08,15,912.8,164.42
48070.42,7,857.1,313.76
2334.55,8,407.55,450.15
11124.92,1,925.5,252.37
13048.76,18,916.58,157.61
22459.87,6,292.15,457.2
29579.67,7,575.69,412.26
7169.16,10,774.24,183.62
10586.66,9,581.52,435.73
6106.42,15,19.93,448.73
23719.86,1,997.28,347.34
1548.14,15,665.45,229.36
20559.38,3,514.71,146.44
4779.55,4,179.92,417.33
38013.97,17,29.47,174.18
44905.5,7,937.0,462.28
30100.92,9,487.1,235.41
39284.5,7,337.82,85.37
6111.91,12,324.91,463.03
33509.5,4,839.73,318.48
35492.44,17,638.12,215.07
21000.71,1,611.47,400.54
33426.13,7,753.87,439.31
33688.38,17,176.6,200.45
1859.58,9,295.64,29.11
1205.68,3,884.0,283.95
22047.69,19,906.05,325.76
40795.36,6,641.84,254.39
19307.33,15,395.21,52.77
25380.52,10,665.1,372.47
17260.93,14,637.63,322.53
17842.1,17,373.31,172.35
7204.13,11,586.25,498.61
2633.44,4,259.39,364.93
13088.54,13,998.43,19.07
49283.99,9,671.32,432.55
5483.95,11,638.47,477.96
16759.39,5,16.88,146.62
34136.44,9,861.63,278.28
2118.04,11,190.58,83.91
9497.38,16,795.87,455.38
25697.76,9,233.02,248.13
11289.91,10,431.09,387.59
2441.95,14,768.06,76.86
41242.73,15,922.39,93.21
14607.75,1,884.15,290.76
42321.33,13,451.18,150.11
48413.94,9,142.23,463.38
29624.7,8,22.29,448.99
14347.45,14,900.3,331.39
21799.9,11,239.32,189.73
41800.65,3,440.01,392.19
11129.8,3,909.07,210.09
30889.96,7,639.96,242.03
11408.83,9,86.98,212.2
31700.61,7,699.93,328.76
16917.63,6,481.07,147.99
25824.68,19,801.85,91.99
2899.66,6,458.87,139.17
19581.03,11,477.81,49.97
48617.2,11,36.48,205.25
807.52,15,443.7,498.22
36824.16,19,242.56,252.23
22986.48,3,750.05,55.03
15307.95,7,355.71,469.17
15164.44,8,406.34,255.64
9298.46,19,39.77,71.85
34430.89,18,409.37,60.91
21676.41,14,260.43,166.07
49144.73,7,161.76,334.63
12394.35,3,501.97,304.37
14447.47,2,944.38,81.14
13285.84,12,501.76,348.38
14517.39,10,608.57,145.05
11866.54,18,819.62,420.26
9761.84,18,572.54,157.59
47109.65,18,775.87,365.75
47380.7,4,127.55,478.59
2475.65,2,87.72,249.32
4732.08,4,210.7,157.7
22417.18,12,97.3,275.9
44501.17,5,794.27,166.41
37293.87,11,729.28,171.01
7433.78,12,429.41,308.67
30560.51,17,96.61,470.71
32005.46,15,763.37,492.24
37884.91,14,560.35,443.9
43867.92,10,593.32,279.21
30327.07,16,328.06,61.04
20570.29,18,132.08,24.22
19776.36,18,760.45,174.31
7912.28,5,853.03,84.91
31436.83,18,763.02,238.27
20303.45,1,349.23,397.53
14929.74,6,978.69,397.95
34596.61,17,786.17,464.21
8015.4,14,713.45,153.0
21501.0,2,118.14,68.7
25709.75,11,136.12,307.1
13809.01,16,402.6,158.31
8689.65,8,141.83,438.45
23320.89,8,346.84,499.15
12158.17,15,283.7,21.14
28415.48,16,296.56,267.88
44382.1,8,871.82,400.81
8141.09,14,756.09,183.46
17000.7,19,508.48,66.04
36000.65,5,997.61,46.63
11599.44,16,138.7,295.27
18915.89,13,275.13,226.06
12554.14,12,945.28,25.92
32674.1,16,239.72,254.18
19590.3,18,43.86,326.27
4878.93,13,408.25,10.38
26358.15,19,722.95,79.63
44883.95,15,783.8,261.57
49952.86,15,567.4,127.31
5925.73,7,202.07,160.7
34602.72,15,734.45,361.08
27799.21,1,241.45,460.01
3023.73,1,481.07,113.83
45062.2,11,576.86,475.0
31589.85,7,720.59,115.89
46229.56,10,435.76,466.27
8131.99,6,189.67,488.95
27397.45,17,851.1,465.04
36667.28,1,912.1,11.69
48013.68,18,967.27,220.27
27179.47,3,920.0,275.16
15048.09,13,549.77,370.5
11387.25,2,110.42,418.09
27523.85,16,770.52,376.09
37024.51,13,300.63,314.69
42279.49,13,713.72,226.39
40764.26,11,863.84,274.65
46336.16,6,440.4,128.3
45082.95,18,70.73,116.08
14093.92,14,511.74,130.55
24886.7,17,350.99,130.42
29423.85,2,695.29,116.97
37374.58,10,208.01,18.3
8055.86,2,334.78,340.97
42562.8,2,672.25,253.59
41472.65,10,71.86,433.28
10504.32,8,85.35,130.82
44893.73,18,28.9,102.12
38374.48,8,636.92,201.02
39374.25,1,232.1,23.81
46868.76,10,451.09,11.09
48573.68,7,700.42,72.31
28142.97,7,70.59,467.15
39956.81,17,821.58,211.91
7670.28,2,500.45,391.62
11200.42,4,41.88,415.89
19864.46,19,485.05,114.98
28708.27,1,983.89,106.59
43897.65,5,406.13,206.51
44130.91,5,152.5,6.42
13449.01,6,637.65,322.48
13992.61,12,589.6,152.41
30424.09,11,793.28,406.84
18291.64,9,421.35,407.44
14933.15,12,230.13,66.62
27859.94,17,888.62,312.65
7987.42,1,792.49,272.57
1703.17,4,655.23,359.27
43723.61,13,497.42,363.76
41614.55,19,690.83,311.72
36570.67,15,420.07,29.69
32437.46,4,844.51,432.06
23275.25,19,57.06,232.64
40280.6,8,831.09,93.75
47005.44,14,634.15,104.1
39152.25,3,409.02,8.26
6914.84,11,559.53,395.55
39174.19,19,46.76,352.1
15878.07,11,553.35,173.78
41947.8,5,939.99,219.74
47921.77,7,426.65,454.67
38626.48,2,405.75,238.59
47503.4,3,821.3,89.35
39075.67,16,592.93,343.65
19842.52,8,285.66,357.04
20405.62,10,173.57,108.49
27282.19,7,429.15,375.87
27423.35,1,575.09,343.1
39156.12,13,61.91,63.73
19888.91,1,238.75,201.05
40409.09,11,399.41,117.35
39622.17,11,379.53,424.65
34463.19,5,912.93,86.28
23247.96,12,752.86,161.46
40022.79,19,745.44,34.32
13894.28,17,849.68,295.39
47551.98,6,334.4,239.96
1033.13,4,981.63,238.29
30267.55,13,811.05,452.1
38538.04,13,125.28,10.32
47648.54,3,942.56,54.94
26683.32,1,170.17,168.48
36372.4,14,451.91,179.66
26761.15,17,466.51,99.9
1655.54,7,810.38,132.75
5353.34,2,937.14,176.86
45044.36,10,811.59,151.85
38303.88,18,396.33,426.83
46639.17,8,521.9,83.65
20920.39,15,589.76,457.68
34043.75,7,25.86,478.43
28026.39,7,440.24,328.99
12171.74,9,27.93,348.38
20285.94,8,273.75,154.94
18883.44,12,895.85,452.96
982.38,4,88.4,44.89
43121.99,13,294.64,47.51
33989.71,3,13.76,53.86
213.78,16,70.3,139.83
24572.38,14,942.4,125.37
32095.35,12,890.27,396.51
45237.19,9,426.9,374.94
1636.26,3,529.21,72.83
34271.91,9,745.42,0.43
26553.14,13,749.84,183.07
16332.58,10,948.96,365.65
25421.52,7,478.09,335.75
41752.46,2,341.69,428.72
29790.88,11,759.03,412.54
44038.35,10,884.83,115.34
16081.41,18,173.39,353.01
15112.03,17,62.48,166.5
35251.22,5,745.46,309.44
35098.18,9,506.07,454.09
40514.84,13,898.17,250.87
20463.04,13,933.94,415.18
9620.59,8,473.52,242.29
5787.59,2,63.41,111.73
487.17,1,253.99,253.96
41691.21,19,813.57,13.97
15465.06,7,252.7,66.78
14594.95,7,892.24,244.96
1048.51,19,698.74,326.6
8692.67,6,476.19,436.29
14925.53,7,47.0,461.92
7624.64,8,657.54,270.87
49845.23,12,57.71,24.98
26506.65,2,672.63,315.47
45655.29,12,635.77,129.97
16398.6,11,642.27,1.37
10233.34,6,945.03,441.51
6352.78,4,223.98,310.52
40022.03,12,227.59,339.97
18953.3,18,513.31,370.95
21598.42,10,266.23,49.46
12475.82,8,549.43,351.54
20365.27,10,456.32,219.21
28814.79,17,165.38,1.48
35139.56,13,824.92,5.17
9056.76,2,190.25,492.04
7020.56,11,928.27,55.49
29164.46,5,320.87,260.08
8385.6,18,884.59,362.88
40804.38,10,658.93,311.77
16359.54,5,356.04,184.01
42050.86,18,296.18,171.73
3404.9,10,359.67,378.92
28359.31,14,394.28,182.04
36082.72,19,929.6,245.55
17689.48,18,586.06,293.21
41492.65,14,343.26,18.7
37987.25,16,167.4,189.59
11907.59,16,897.25,177.92
2081.9,16,26.37,350.7
16197.27,6,27.69,438.57
15651.8,5,53.87,109.49
10597.52,10,473.85,81.44
47876.71,14,534.36,108.59
5485.37,13,85.02,392.48
33493.12,1,309.51,280.34
36044.38,18,635.22,28.03
47180.2,4,63.62,5.2
20812.18,14,695.53,162.56
47636.2,11,114.25,176.2
46932.12,19,290.96,126.5
49872.16,14,72.15,86.39
8599.27,18,33.18,361.76
10835.95,1,149.4,268.11
9759.16,18,632.05,149.7
45178.43,16,720.61,219.47
30897.27,15,426.13,192.05
39621.67,7,665.43,423.64
46713.8,15,35.33,418.02
126.19,19,548.33,1.77
33242.96,10,766.89,371.58
19255.72,18,865.77,264.12
40030.95,19,524.42,428.08
22900.14,6,189.55,325.83
30733.25,19,745.29,278.16
8577.76,5,994.57,214.64
31427.05,3,950.16,181.87
10173.37,3,38.86,389.53
20882.4,6,329.65,46.74
46670.86,12,646.78,428.72
7451.81,17,663.05,205.61
34241.88,9,942.46,331.35
24308.45,16,580.96,478.54
1357.84,13,280.32,89.67
11108.95,17,709.72,80.64
36014.13,14,325.55,87.29
17136.21,1,906.56,112.49
36159.2,10,479.14,162.95
19816.44,1,611.05,6.71
2236.09,5,646.14,230.8
4988.13,17,356.79,2.82
43808.8,8,661.35,377.89
39674.19,2,889.84,20.05
11579.12,15,154.94,448.48
14402.01,8,226.65,457.54
15551.79,11,872.12,337.43
38624.3,7,928.85,157.32
35697.33,13,362.23,197.18
9440.59,3,382.4,461.62
23840.31,10,186.6,439.85
15588.04,17,356.53,312.38
800.98,6,327.79,338.85
9869.83,16,937.66,131.96
30151.88,6,628.28,181.85
48764.9,14,183.9,46.55
3714.58,16,507.14,397.36
3979.51,2,848.95,115.14
4811.46,2,606.88,336.1
19848.14,19,74.81,204.64
27129.96,13,690.82,411.3
11690.66,5,245.39,178.24
13470.58,19,151.66,181.88
43366.0,13,719.2,211.6
32203.39,9,814.0,441.96
46652.77,6,954.63,34.32
48223.25,8,181.33,450.28
4966.86,14,560.37,281.47
37277.06,1,173.5,318.49
9769.19,12,905.2,307.57
15565.64,19,898.6,392.49
3008.96,5,300.11,190.71
21879.48,6,605.9,426.96
24564.27,14,440.27,206.69
